name,segment,gene_id,mean,std,size,count,percentage
ERR4413740,NC_045512.2,SARS-CoV2,99.26298364712571,103.43354108539158,29903,4607.0,0.15406480955088117
ERR4458847,NC_045512.2,SARS-CoV2,556.1319934454737,448.3334653224992,29903,24386.0,0.8155034611911849
ERR4458848,NC_045512.2,SARS-CoV2,683.0387252115172,458.1369697844497,29903,26898.0,0.8995084105273718
ERR4458849,NC_045512.2,SARS-CoV2,832.1409557569475,547.2183871566343,29903,28058.0,0.9383005049660569
ERR4458850,NC_045512.2,SARS-CoV2,521.5003176938769,367.14003416527186,29903,25154.0,0.8411865030264521
ERR4458851,NC_045512.2,SARS-CoV2,563.5794401899475,442.45320548302016,29903,25025.0,0.8368725545931847
ERR4458852,NC_045512.2,SARS-CoV2,106.17252449586998,119.88583054416401,29903,5185.0,0.17339397384877772
ERR4458853,NC_045512.2,SARS-CoV2,326.2389726783266,353.21034990151094,29903,15832.0,0.5294452061666054
ERR4458854,NC_045512.2,SARS-CoV2,159.6657860415343,172.83889721703676,29903,9041.0,0.3023442463966826
ERR4458855,NC_045512.2,SARS-CoV2,412.19456241848644,362.43342814185286,29903,20289.0,0.6784937966090359
ERR4458856,NC_045512.2,SARS-CoV2,474.42788348995083,412.5712205753636,29903,21446.0,0.717185566665552
ERR4458857,NC_045512.2,SARS-CoV2,496.7086579941812,376.9777106085285,29903,23712.0,0.7929639166638799
ERR4458858,NC_045512.2,SARS-CoV2,82.99043574223322,101.40009223825581,29903,2749.0,0.09193057552753904
ERR4458859,NC_045512.2,SARS-CoV2,57.185432899709056,72.42662104671246,29903,1445.0,0.04832291074474133
ERR4458860,NC_045512.2,SARS-CoV2,747.6602347590542,536.4512306016555,29903,27321.0,0.9136541484132027
ERR4458861,NC_045512.2,SARS-CoV2,89.72397418319233,71.88239129401273,29903,2793.0,0.09340199979935124
ERR4458862,NC_045512.2,SARS-CoV2,656.054208607832,469.92403975662785,29903,26274.0,0.8786409390362171
ERR4458863,NC_045512.2,SARS-CoV2,333.1332642209812,318.0898313233575,29903,17171.0,0.5742233220747083
ERR4458864,NC_045512.2,SARS-CoV2,87.56124803531418,64.25750545550947,29903,1850.0,0.0618667023375581
ERR4458865,NC_045512.2,SARS-CoV2,863.6481623917333,514.259922658627,29903,28843.0,0.9645520516336153
ERR4458866,NC_045512.2,SARS-CoV2,170.47978463699295,180.54105207544887,29903,9256.0,0.30953416045212856
ERR4458867,NC_045512.2,SARS-CoV2,192.54188542955555,199.02467348822978,29903,11200.0,0.3745443600976491
ERR4458868,NC_045512.2,SARS-CoV2,155.14891482459953,211.87485815318766,29903,8438.0,0.28217904558071094
ERR4458869,NC_045512.2,SARS-CoV2,231.4435340935692,229.42122235016086,29903,13210.0,0.4417616961508879
ERR4458870,NC_045512.2,SARS-CoV2,654.8987726983914,450.65944853303944,29903,26683.0,0.8923184964719258
ERR4458871,NC_045512.2,SARS-CoV2,159.54302243922015,151.03882941645526,29903,9462.0,0.31642310136106744
ERR4458872,NC_045512.2,SARS-CoV2,816.0246129150921,475.88493982362615,29903,28668.0,0.9586997960070895
ERR4458873,NC_045512.2,SARS-CoV2,123.370397618968,94.27281068504476,29903,5577.0,0.18650302645219544
ERR4458874,NC_045512.2,SARS-CoV2,416.44202922783666,355.85236310778805,29903,21582.0,0.7217336053238805
ERR4458875,NC_045512.2,SARS-CoV2,362.33290974149753,354.742297753805,29903,17899.0,0.5985687054810555
ERR4458876,NC_045512.2,SARS-CoV2,79.9678627562452,94.40489959968791,29903,3028.0,0.10126074306925727
ERR4458877,NC_045512.2,SARS-CoV2,88.41206567902886,99.49970574296687,29903,3478.0,0.11630940039460924
ERR4458878,NC_045512.2,SARS-CoV2,808.3301006587968,772.3902122479747,29903,24086.0,0.8054710229742835
ERR4458879,NC_045512.2,SARS-CoV2,50.30030431729258,67.20730909208721,29903,1078.0,0.03604989465939872
ERR4458880,NC_045512.2,SARS-CoV2,473.02277363475235,396.16658684680857,29903,21722.0,0.7264154098251011
ERR4458881,NC_045512.2,SARS-CoV2,45.55666655519513,62.647940280538975,29903,1083.0,0.03621710196301375
ERR4458882,NC_045512.2,SARS-CoV2,151.83496639133196,116.55353100140312,29903,8600.0,0.2875965622178377
ERR4458883,NC_045512.2,SARS-CoV2,98.41417249105442,83.52418008422352,29903,3887.0,0.12998695783031802
ERR4458884,NC_045512.2,SARS-CoV2,800.9227836671906,540.0006677583245,29903,27863.0,0.9317794201250711
ERR4458885,NC_045512.2,SARS-CoV2,766.7307962411799,712.2683981352815,29903,24405.0,0.816138848944922
